Sweep #,Time,Chan 101 (C),Chan 102 (C),Chan 103 (C),Chan 104 (C),Chan 105 (C)
1,03/21/2024 22:29:37.437,+2.93487001E+01,+2.92770953E+01,+2.93177290E+01,+2.93698808E+01,+2.95384060E+01
2,03/21/2024 22:29:47.429,+2.97649044E+01,+2.96550739E+01,+2.98319318E+01,+2.98802577E+01,+3.02500440E+01
3,03/21/2024 22:29:57.435,+3.01792159E+01,+3.00537858E+01,+3.02814926E+01,+3.03315545E+01,+3.07852839E+01
4,03/21/2024 22:30:07.431,+3.04482470E+01,+3.03011258E+01,+3.05522740E+01,+3.06036042E+01,+3.10820602E+01
5,03/21/2024 22:30:17.429,+3.06471667E+01,+3.04983959E+01,+3.07354920E+01,+3.07883167E+01,+3.13353789E+01
6,03/21/2024 22:30:27.436,+3.08027887E+01,+3.06495427E+01,+3.09055107E+01,+3.09396950E+01,+3.15323577E+01
7,03/21/2024 22:30:37.470,+3.09718007E+01,+3.08226164E+01,+3.10836731E+01,+3.11276406E+01,+3.17345681E+01
8,03/21/2024 22:30:47.429,+3.11248488E+01,+3.09553390E+01,+3.12234514E+01,+3.12682817E+01,+3.19851677E+01
9,03/21/2024 22:30:57.429,+3.12735547E+01,+3.10874902E+01,+3.13808643E+01,+3.13965854E+01,+3.21391465E+01
10,03/21/2024 22:31:07.430,+3.14183645E+01,+3.12163304E+01,+3.15062075E+01,+3.15359687E+01,+3.23187096E+01
11,03/21/2024 22:31:17.429,+3.15605465E+01,+3.13604863E+01,+3.16576462E+01,+3.16834811E+01,+3.25485184E+01
12,03/21/2024 22:31:27.429,+3.17075893E+01,+3.15102713E+01,+3.17945559E+01,+3.18460360E+01,+3.26907953E+01
13,03/21/2024 22:31:37.429,+3.18174629E+01,+3.15972534E+01,+3.18990311E+01,+3.19505202E+01,+3.28379016E+01
14,03/21/2024 22:31:47.428,+3.19653080E+01,+3.17323167E+01,+3.20340203E+01,+3.20634813E+01,+3.30619648E+01
15,03/21/2024 22:31:57.429,+3.20966934E+01,+3.18857577E+01,+3.21557531E+01,+3.21937404E+01,+3.32187432E+01
16,03/21/2024 22:32:07.428,+3.22387789E+01,+3.19969713E+01,+3.23085101E+01,+3.23409193E+01,+3.33578023E+01
17,03/21/2024 22:32:17.429,+3.23682504E+01,+3.21361588E+01,+3.24380972E+01,+3.24571063E+01,+3.34946758E+01
18,03/21/2024 22:32:27.429,+3.24667022E+01,+3.22269794E+01,+3.25336112E+01,+3.25572457E+01,+3.36199944E+01
19,03/21/2024 22:32:37.428,+3.25559756E+01,+3.23293075E+01,+3.26285644E+01,+3.26424895E+01,+3.37622971E+01
20,03/21/2024 22:32:47.428,+3.26605160E+01,+3.24215211E+01,+3.27491314E+01,+3.28058562E+01,+3.39314099E+01
21,03/21/2024 22:32:57.428,+3.27733575E+01,+3.25253533E+01,+3.28468902E+01,+3.28723514E+01,+3.40356618E+01
22,03/21/2024 22:33:07.429,+3.28585306E+01,+3.25935665E+01,+3.29353590E+01,+3.29762753E+01,+3.41474130E+01
23,03/21/2024 22:33:17.456,+3.29253655E+01,+3.26456767E+01,+3.30103368E+01,+3.30449916E+01,+3.42833484E+01
24,03/21/2024 22:33:27.428,+3.30427728E+01,+3.27920996E+01,+3.31106175E+01,+3.31345917E+01,+3.43736915E+01
25,03/21/2024 22:33:37.447,+3.31228193E+01,+3.28771222E+01,+3.31887634E+01,+3.32194141E+01,+3.44695804E+01
26,03/21/2024 22:33:47.429,+3.32202877E+01,+3.29496685E+01,+3.32858514E+01,+3.33144189E+01,+3.46000768E+01
27,03/21/2024 22:33:57.428,+3.32873776E+01,+3.30235403E+01,+3.33381936E+01,+3.33623034E+01,+3.46601649E+01
28,03/21/2024 22:34:07.473,+3.33420463E+01,+3.30703821E+01,+3.33920606E+01,+3.34064082E+01,+3.47098772E+01
29,03/21/2024 22:34:17.442,+3.34367632E+01,+3.31425689E+01,+3.34514132E+01,+3.34761084E+01,+3.47856915E+01
30,03/21/2024 22:34:27.429,+3.34841318E+01,+3.31724720E+01,+3.35191504E+01,+3.35750348E+01,+3.48832652E+01
31,03/21/2024 22:34:37.437,+3.35403923E+01,+3.32449474E+01,+3.35671751E+01,+3.35972880E+01,+3.48995003E+01
32,03/21/2024 22:34:47.429,+3.35885570E+01,+3.33135400E+01,+3.36336066E+01,+3.36611859E+01,+3.49924106E+01
33,03/21/2024 22:34:57.465,+3.36547816E+01,+3.33636103E+01,+3.37066659E+01,+3.37435337E+01,+3.50281230E+01
34,03/21/2024 22:35:07.428,+3.37042551E+01,+3.34088560E+01,+3.37328908E+01,+3.37643281E+01,+3.50783091E+01
35,03/21/2024 22:35:17.463,+3.37290767E+01,+3.34409242E+01,+3.37655183E+01,+3.37848961E+01,+3.51442726E+01
36,03/21/2024 22:35:27.442,+3.37977926E+01,+3.35163073E+01,+3.38125649E+01,+3.38663843E+01,+3.51888583E+01
37,03/21/2024 22:35:37.429,+3.38245770E+01,+3.35282862E+01,+3.38434252E+01,+3.38783279E+01,+3.51743348E+01
38,03/21/2024 22:35:47.428,+3.38686309E+01,+3.35979872E+01,+3.38957632E+01,+3.39355652E+01,+3.52340357E+01
39,03/21/2024 22:35:57.451,+3.39071319E+01,+3.36580118E+01,+3.39201135E+01,+3.39568153E+01,+3.52170182E+01
40,03/21/2024 22:36:07.450,+3.39479850E+01,+3.36740348E+01,+3.39614457E+01,+3.39929252E+01,+3.52567111E+01
41,03/21/2024 22:36:17.466,+3.39450978E+01,+3.37012191E+01,+3.39814037E+01,+3.40082398E+01,+3.53086336E+01
42,03/21/2024 22:36:27.442,+3.39997585E+01,+3.37321638E+01,+3.39960366E+01,+3.40242659E+01,+3.53040959E+01
43,03/21/2024 22:36:37.440,+3.40055014E+01,+3.37629974E+01,+3.40214678E+01,+3.40396551E+01,+3.52918557E+01
44,03/21/2024 22:36:47.428,+3.40360143E+01,+3.37638049E+01,+3.40521732E+01,+3.40904654E+01,+3.53034238E+01
45,03/21/2024 22:36:57.466,+3.40791358E+01,+3.38384034E+01,+3.40943402E+01,+3.41316024E+01,+3.52995128E+01
46,03/21/2024 22:37:07.429,+3.40669921E+01,+3.38347804E+01,+3.40861775E+01,+3.41234935E+01,+3.53098563E+01
47,03/21/2024 22:37:17.431,+3.40777278E+01,+3.38322971E+01,+3.40849758E+01,+3.41303268E+01,+3.53165999E+01
48,03/21/2024 22:37:27.461,+3.40979158E+01,+3.38431550E+01,+3.40823645E+01,+3.41192208E+01,+3.53032124E+01
49,03/21/2024 22:37:37.467,+3.41081857E+01,+3.38790393E+01,+3.41183215E+01,+3.41556120E+01,+3.52827117E+01
50,03/21/2024 22:37:47.429,+3.41270210E+01,+3.38741567E+01,+3.41053025E+01,+3.41409235E+01,+3.53125636E+01
51,03/21/2024 22:37:57.429,+3.41315820E+01,+3.38947712E+01,+3.41134911E+01,+3.41403501E+01,+3.52706081E+01
52,03/21/2024 22:38:07.428,+3.41577678E+01,+3.39178510E+01,+3.41099982E+01,+3.41697990E+01,+3.52563461E+01
53,03/21/2024 22:38:17.455,+3.41524282E+01,+3.39241696E+01,+3.41274369E+01,+3.41739232E+01,+3.52594931E+01
54,03/21/2024 22:38:27.438,+3.41614662E+01,+3.39309472E+01,+3.41383823E+01,+3.41790347E+01,+3.52398250E+01
55,03/21/2024 22:38:37.429,+3.41647543E+01,+3.39483684E+01,+3.41443444E+01,+3.41838529E+01,+3.52366927E+01
56,03/21/2024 22:38:47.482,+3.41602617E+01,+3.39604265E+01,+3.41326102E+01,+3.41818106E+01,+3.52016715E+01
57,03/21/2024 22:38:57.431,+3.41732047E+01,+3.39512326E+01,+3.41300443E+01,+3.41558854E+01,+3.51705203E+01
58,03/21/2024 22:39:07.429,+3.41590269E+01,+3.39764103E+01,+3.41416906E+01,+3.41857464E+01,+3.51506689E+01
59,03/21/2024 22:39:17.428,+3.41647410E+01,+3.39729618E+01,+3.41425174E+01,+3.41816527E+01,+3.51271128E+01
60,03/21/2024 22:39:27.450,+3.41649131E+01,+3.39918166E+01,+3.41401489E+01,+3.41938722E+01,+3.50998539E+01
61,03/21/2024 22:39:37.429,+3.41770193E+01,+3.39885134E+01,+3.41396341E+01,+3.41767095E+01,+3.50996597E+01
62,03/21/2024 22:39:47.470,+3.41684364E+01,+3.39880445E+01,+3.41292699E+01,+3.41578048E+01,+3.50526587E+01
63,03/21/2024 22:39:57.428,+3.41541675E+01,+3.39866235E+01,+3.41268759E+01,+3.41699063E+01,+3.50370047E+01
64,03/21/2024 22:40:07.447,+3.41534217E+01,+3.39995973E+01,+3.41271835E+01,+3.41925360E+01,+3.50222166E+01
65,03/21/2024 22:40:17.431,+3.41560188E+01,+3.39927474E+01,+3.41213989E+01,+3.41617127E+01,+3.49889058E+01
66,03/21/2024 22:40:27.429,+3.41282261E+01,+3.39720158E+01,+3.40934707E+01,+3.41437551E+01,+3.49454832E+01
67,03/21/2024 22:40:37.428,+3.41284749E+01,+3.39869089E+01,+3.41112829E+01,+3.41542612E+01,+3.49392601E+01
68,03/21/2024 22:40:47.429,+3.41501148E+01,+3.40070578E+01,+3.41324249E+01,+3.41652436E+01,+3.49258370E+01
69,03/21/2024 22:40:57.428,+3.41453464E+01,+3.39934572E+01,+3.41078320E+01,+3.41585685E+01,+3.48952254E+01
70,03/21/2024 22:41:07.467,+3.41356710E+01,+3.39824447E+01,+3.41028768E+01,+3.41485330E+01,+3.48496582E+01
71,03/21/2024 22:41:17.446,+3.41187942E+01,+3.39807171E+01,+3.40719880E+01,+3.41228155E+01,+3.48239807E+01
72,03/21/2024 22:41:27.418,+3.41321237E+01,+3.39953510E+01,+3.41101453E+01,+3.41357108E+01,+3.48118381E+01
73,03/21/2024 22:41:37.432,+3.41203999E+01,+3.39945926E+01,+3.41032757E+01,+3.41365530E+01,+3.47944772E+01
